学号	课程班级
21602093838	23级938汉语言文学班
21602093841	23级938汉语言文学班
21602093842	23级938汉语言文学班
21602093846	23级938汉语言文学班
21602093848	23级938汉语言文学班
21602093849	23级938汉语言文学班
21602093852	23级938汉语言文学班
21602093919	24级980汉语言文学班
21602093920	23级939汉语言文学班
21602093922	23级939汉语言文学班
21602093926	23级939汉语言文学班
21602093927	23级939汉语言文学班
21602093928	23级939汉语言文学班
21602093930	23级939汉语言文学班
21602093931	23级939汉语言文学班
21602093936	23级939汉语言文学班
21602093938	23级939汉语言文学班
21602093947	23级939汉语言文学班
21602093949	23级939汉语言文学班
21602094001	23级940汉语言文学班
21602094003	23级940汉语言文学班
21602094004	23级940汉语言文学班
21602094005	23级940汉语言文学班
21602094007	23级940汉语言文学班
21602094011	23级940汉语言文学班
21602094014	23级940汉语言文学班
21602094015	23级940汉语言文学班
21602094018	23级940汉语言文学班
21602094021	23级940汉语言文学班
21602094023	23级940汉语言文学班
21602094025	23级940汉语言文学班
21602094026	23级940汉语言文学班
21602094028	23级940汉语言文学班
21602094029	23级940汉语言文学班
21602094031	23级940汉语言文学班
21602094042	23级940汉语言文学班
21602094043	24级979汉语言文学班
21602094044	23级940汉语言文学班
21602094047	23级940汉语言文学班
21602094049	23级940汉语言文学班
21602094106	23级941汉语言文学班
21602094108	23级941汉语言文学班
21602094110	23级941汉语言文学班
21602094111	23级941汉语言文学班
21602094120	23级941汉语言文学班
21602094134	23级941汉语言文学班
21602094140	23级941汉语言文学班
21602094142	23级941汉语言文学班
21602094146	23级941汉语言文学班
21602094147	23级941汉语言文学班
21602094154	23级941汉语言文学班
21602094203	23级942汉语言文学班
21602094209	23级942汉语言文学班
21602094222	23级942汉语言文学班
21602094223	23级942汉语言文学班
21602094224	23级942汉语言文学班
21602094227	23级942汉语言文学班
21602094233	23级942汉语言文学班
21602094235	23级942汉语言文学班
21602094236	23级942汉语言文学班
21602094237	23级942汉语言文学班
21602094238	23级942汉语言文学班
21602094239	23级942汉语言文学班
21602094240	23级942汉语言文学班
21602094241	23级942汉语言文学班
21602094246	23级942汉语言文学班
21602094247	23级942汉语言文学班
21602094252	23级942汉语言文学班
21602094253	23级942汉语言文学班
21602094302	23级943汉语言文学班
21602094304	23级943汉语言文学班
21602094307	23级943汉语言文学班
21602094309	23级943汉语言文学班
21602094311	23级943汉语言文学班
21602094313	23级943汉语言文学班
21602094314	23级943汉语言文学班
21602094315	23级943汉语言文学班
21602094318	23级943汉语言文学班
21602094321	23级943汉语言文学班
21602094322	23级943汉语言文学班
21602094323	23级943汉语言文学班
21602094326	23级943汉语言文学班
21602094330	23级943汉语言文学班
21602094331	23级943汉语言文学班
21602094334	23级943汉语言文学班
21602094336	23级943汉语言文学班
21602094337	23级943汉语言文学班
21603094414	23级944数学班
21603094415	23级944数学班
21603094416	23级944数学班
21603094417	23级944数学班
21603094419	23级944数学班
21603094420	23级944数学班
21603094424	23级944数学班
21603094428	23级944数学班
21603094437	23级944数学班
21603094440	23级944数学班
21603094441	23级944数学班
21603094442	23级944数学班
21603094443	23级944数学班
21603094447	23级944数学班
21603094504	23级945数学班
21603094506	23级945数学班
21603094507	23级945数学班
21603094509	23级945数学班
21603094511	23级945数学班
21603094513	23级945数学班
21603094515	23级945数学班
21603094516	23级945数学班
21603094517	23级945数学班
21603094519	23级945数学班
21603094520	23级945数学班
21603094521	23级945数学班
21603094524	23级945数学班
21603094526	23级945数学班
21603094531	24级982数学班
21603094532	23级945数学班
21603094535	23级945数学班
21603094537	23级945数学班
21603094538	23级945数学班
21603094540	23级945数学班
21603094609	23级946数学班
21603094613	23级946数学班
21603094620	23级946数学班
21603094631	23级946数学班
21603094633	23级946数学班
21603094636	23级946数学班
21603094644	23级946数学班
21603094645	23级946数学班
21603094647	23级946数学班
21603094648	23级946数学班
21603094738	23级947数学班
21603094743	23级947数学班
21603094745	23级947数学班
21603094749	23级947数学班
21603094824	23级948数学班
21603094836	23级948数学班
21603094903	23级949数学班
21603094916	23级949数学班
21603094939	23级949数学班
